name,cc_fips
AIESEC UNIVERSITI MALAYSIA SARAWAY,MY
AIESEC UUM,MY
UNIVERSITI TEKNOLOGI PETRONAS,MY
AIESEC USM,MY
AIESEC SUNWAY UNIVERSITY,MY
AIESEC UKM,MY
AIESEC CURTIN UNIVERSITY SARAWAK CAMPUS,MY
UNIVERSITY OF NOTTINGHAM MALAYSIA CAMPUS,MY
AIESEC TAYLORS UNI,MY
AIESEC UM,MY
AIESEC UTM,MY
AIESEC UNIVERSITY OF MALTA,MT
AIESEC MCAST (CLOSED),MT
AIESEC UNIVERSITY OF TECHNOLOGY MAURITIUS,MP
AIESEC UNI OF MAURITIUS,MP
AIESEC CIUDAD JUAREZ,MX
AIESEC UDEM,MX
AIESEC UNAM,MX
AIESEC ITESM MONTERREY,MX
AIESEC AGUASCALIENTES,MX
AIESEC UNIVERSIDAD IBEROAMERICANA (CLOSED),MX
AIESEC GUADALAJARA,MX
AIESEC UAEMEX,MX
AIESEC EBC (CLOSED),MX
AIESEC ITAM,MX
AIESEC PUEBLA,MX
AIESEC SANTA FE,MX
AIESEC LAGUNA,MX
AIESEC UNAM (CLOSED),MX
AIESEC QUERETARO,MX
AIESEC CHIHUAHUA,MX
AIESEC MERIDA-YUCATAN,MX
AIESEC TORREON (CLOSED),MX
AIESEC LEON,MX
AIESEC TABASCO,MX
AIESEC SINALOA,MX
AIESEC UP,MX
AIESEC ULSA,MX
AIESEC GUANAJUATO,MX
AIESEC IPN,MX
AIESEC ITESM CEM,MX
AIESEC EXPANSION MEXICO,MX
AIESEC VERACRUZ,MX
AIESEC BALTI,MD
AIESEC CAHUL,MD
AIESEC CHISINAU,MD
NATIONAL UNIVERSITY OF MONGOLIA (CLOSED),MG
AIESEC NUM,MG
AIESEC PODGORICA,MJ
Podgorica (CLOSED),MJ
AIESEC LC MOROCCO (CLOSED) (CLOSED),MO
AIESEC IIHEM IN RABAT (CLOSED),MO
AIESEC ATLAS,MO
AIESEC ESIG IN CASABLANCA (CLOSED),MO
AIESEC ANFA,MO
AIESEC HECI IN RABAT (CLOSED),MO
AIESEC ESIG IN MARRAKECH (CLOSED),MO
AIESEC HASSAN,MO
